tradedate,ticker,open,close,high,low,volume,openinterest
2019-11-28,600519,1212.6667835704202,1193.2128874549987,1215.2443994354785,1186.3324797522052,2884499.0,0
2019-11-29,600519,1182.7603506793682,1145.7198077365995,1182.7603506793682,1129.371228371997,8239732.000000001,0
2019-12-02,600519,1134.7598662631228,1149.7790453193688,1156.9030072771286,1134.7598662631228,3078441.0,0
2019-12-03,600519,1149.7790453193688,1134.5569043839844,1149.7790453193688,1134.2930539411043,2734093.0,0
2019-12-04,600519,1156.8827110892148,1138.951029067332,1161.611722873141,1134.5569043839844,3528308.0,0
2019-12-05,600519,1141.6605701538303,1146.5316552531533,1148.7743840176336,1134.5569043839844,2133879.0,0
2019-12-06,600519,1152.7930292245749,1187.3269929599835,1187.3269929599835,1146.836098071861,3950626.0,0
2019-12-09,600519,1192.4010399384451,1175.8596467886607,1193.4158493341374,1173.2211423598606,2182412.0,0
2019-12-10,600519,1176.7729752447835,1181.644060344107,1182.2529459815223,1168.04561444183,1508658.0,0
2019-12-11,600519,1185.2973741685992,1176.1437934194546,1188.0881000067527,1172.66299719223,1456799.0,0
2019-12-12,600519,1173.1196614202915,1153.838282902138,1177.118010439319,1146.8158018839472,2940916.0,0
2019-12-13,600519,1162.9715674633687,1180.2233271901375,1182.2529459815223,1162.9715674633687,3000059.0,0
2019-12-16,600519,1180.2233271901375,1164.9200015030979,1180.2233271901375,1154.7922037340886,3093642.0,0
2019-12-17,600519,1166.7263622274302,1187.3066967720697,1190.9803067844757,1159.9575835581625,4261696.0,0
2019-12-18,600519,1191.3862305427529,1185.2973741685992,1192.6040018175838,1181.2381365858298,1964009.0,0
